"id","Gender","Age","Region_Code","Vehicle_Age","Vehicle_Damage","Annual_Premium","Vintage","Response"
319654,"Male",22,"46","< 1 Year","Yes",29719,79,0
298528,"Female",40,"28","1-2 Year","Yes",29645,99,0
120858,"Male",25,"28","1-2 Year","Yes",35996,266,1
234326,"Female",25,"29","< 1 Year","No",56899,25,0
372307,"Female",70,"28","1-2 Year","No",47452,189,0
212306,"Male",41,"46","1-2 Year","Yes",19851,219,0
33390,"Female",53,"28","1-2 Year","No",35703,132,0
340066,"Female",42,"28","1-2 Year","No",42202,104,0
38791,"Male",30,"46","< 1 Year","No",23692,275,0
139620,"Male",53,"28","1-2 Year","Yes",42571,203,0
289739,"Male",79,"50","1-2 Year","Yes",31051,198,1
172943,"Male",41,"8","1-2 Year","No",41781,270,0
135323,"Female",45,"28","1-2 Year","No",36552,114,0
326947,"Female",25,"28","< 1 Year","No",2630,72,0
229095,"Female",39,"28","> 2 Years","Yes",43642,243,1
213234,"Male",48,"28","> 2 Years","Yes",38045,37,0
345348,"Female",46,"28","1-2 Year","Yes",32843,52,0
22327,"Male",43,"28","1-2 Year","Yes",25273,211,0
142846,"Female",29,"28","1-2 Year","Yes",38450,270,1
369988,"Male",46,"28","> 2 Years","Yes",38527,56,1
291615,"Male",24,"28","< 1 Year","Yes",2630,28,0
304672,"Female",41,"28","1-2 Year","Yes",33098,36,0
75013,"Female",23,"8","< 1 Year","Yes",44305,148,0
227844,"Female",52,"28","1-2 Year","Yes",34747,197,1
96452,"Male",62,"46","1-2 Year","Yes",48248,200,1
61440,"Female",34,"46","1-2 Year","No",22760,41,0
136843,"Male",57,"50","1-2 Year","Yes",2630,60,0
261431,"Female",47,"28","1-2 Year","No",29838,192,0
233588,"Female",20,"15","< 1 Year","Yes",24769,26,0
231562,"Male",58,"8","1-2 Year","Yes",58639,42,1
66212,"Female",67,"28","1-2 Year","Yes",29916,27,0
178063,"Male",66,"28","> 2 Years","Yes",22488,265,0
74259,"Female",57,"8","1-2 Year","No",38090,268,0
167366,"Male",46,"29","1-2 Year","Yes",33351,215,1
366915,"Female",29,"29","< 1 Year","No",35540,25,0
287430,"Female",22,"8","< 1 Year","Yes",41226,285,0
358543,"Female",29,"30","1-2 Year","Yes",28204,12,1
155284,"Female",23,"30","< 1 Year","No",46717,121,0
229637,"Female",25,"41","< 1 Year","No",30494,246,0
353022,"Male",46,"8","1-2 Year","No",36196,247,0
341895,"Female",22,"46","< 1 Year","No",32397,19,0
175995,"Female",24,"8","< 1 Year","No",42608,163,0
244201,"Male",33,"28","1-2 Year","Yes",32578,81,1
37331,"Female",47,"41","1-2 Year","No",2630,16,0
224571,"Male",56,"28","1-2 Year","Yes",30724,263,0
211244,"Male",34,"8","1-2 Year","Yes",2630,210,1
370406,"Female",23,"28","< 1 Year","No",48177,228,0
274963,"Female",29,"8","< 1 Year","No",37805,103,0
166897,"Male",41,"28","1-2 Year","Yes",111883,115,0
210373,"Male",28,"30","< 1 Year","No",23309,199,0
222183,"Female",35,"11","1-2 Year","Yes",38292,85,1
299917,"Male",52,"8","1-2 Year","No",33765,62,0
374545,"Male",30,"28","< 1 Year","No",37921,39,0
171394,"Female",44,"28","1-2 Year","No",30375,27,0
211546,"Female",50,"3","1-2 Year","No",26461,20,0
343201,"Male",51,"8","1-2 Year","Yes",36081,254,0
30681,"Female",24,"28","< 1 Year","No",76648,80,0
331633,"Male",58,"28","1-2 Year","Yes",54566,57,1
134633,"Male",24,"28","< 1 Year","Yes",35625,181,0
370794,"Female",22,"41","< 1 Year","No",22566,227,0
337477,"Male",21,"46","< 1 Year","No",38809,133,0
320833,"Male",61,"28","1-2 Year","Yes",49770,23,0
50884,"Male",35,"28","1-2 Year","Yes",36307,246,0
244922,"Female",22,"3","< 1 Year","Yes",40504,47,0
137798,"Female",71,"28","1-2 Year","Yes",50733,104,0
120524,"Male",23,"11","< 1 Year","No",27662,63,0
69864,"Male",24,"11","< 1 Year","No",25928,77,0
243972,"Female",25,"28","< 1 Year","No",38361,124,0
156969,"Male",24,"15","< 1 Year","No",40995,154,0
263507,"Male",48,"28","1-2 Year","Yes",39265,19,1
206386,"Female",25,"3","< 1 Year","No",31097,66,0
85448,"Female",25,"41","< 1 Year","Yes",61653,197,0
84026,"Male",46,"28","1-2 Year","No",50303,12,0
258079,"Female",46,"28","1-2 Year","Yes",30078,35,1
272239,"Male",46,"8","1-2 Year","No",82675,267,0
257808,"Male",48,"8","1-2 Year","No",51728,253,0
186869,"Male",36,"28","1-2 Year","Yes",42062,244,1
73873,"Male",23,"46","< 1 Year","No",27361,225,0
210297,"Female",27,"3","< 1 Year","No",26541,195,0
336593,"Female",32,"46","< 1 Year","Yes",39738,152,0
285922,"Female",42,"28","1-2 Year","Yes",37933,230,0
142075,"Male",38,"28","1-2 Year","No",42754,28,0
214400,"Female",26,"15","< 1 Year","No",39652,213,0
294089,"Female",29,"28","< 1 Year","Yes",33982,18,0
116234,"Female",25,"41","< 1 Year","No",30452,203,0
297431,"Male",30,"28","< 1 Year","Yes",42255,110,1
240993,"Male",43,"28","1-2 Year","Yes",45556,221,0
56125,"Male",23,"8","< 1 Year","No",50246,139,0
350381,"Male",77,"46","1-2 Year","No",35304,65,0
352243,"Female",23,"50","< 1 Year","No",2630,122,0
146131,"Male",43,"28","1-2 Year","Yes",49282,174,1
222005,"Female",39,"28","1-2 Year","Yes",48932,215,0
250431,"Female",47,"28","1-2 Year","Yes",27004,283,0
281032,"Male",24,"50","< 1 Year","Yes",36533,165,0
101390,"Female",76,"3","1-2 Year","Yes",23632,92,0
204648,"Male",65,"15","1-2 Year","Yes",2630,84,0
85290,"Male",60,"28","> 2 Years","Yes",44319,10,1
368696,"Female",65,"28","1-2 Year","Yes",56256,40,1
125915,"Male",24,"28","< 1 Year","No",33756,50,0
229990,"Male",45,"28","1-2 Year","Yes",2630,168,0
229589,"Male",27,"30","< 1 Year","No",21944,90,0
271299,"Male",44,"28","1-2 Year","No",27391,35,0
197839,"Female",68,"28","1-2 Year","Yes",39545,63,1
272998,"Female",24,"41","< 1 Year","Yes",69025,253,1
137271,"Male",28,"28","1-2 Year","Yes",43382,37,1
24852,"Male",69,"28","1-2 Year","Yes",45209,87,0
347507,"Male",74,"28","1-2 Year","No",48065,69,0
191655,"Male",21,"15","< 1 Year","No",44065,181,0
343501,"Female",27,"29","< 1 Year","No",23293,30,0
297097,"Male",25,"46","< 1 Year","No",32787,289,0
204699,"Female",22,"28","< 1 Year","No",36074,155,0
127407,"Female",46,"11","1-2 Year","No",29213,240,0
181085,"Female",38,"46","1-2 Year","No",22522,184,0
299319,"Female",26,"3","< 1 Year","No",34856,268,0
16381,"Female",32,"28","< 1 Year","Yes",34131,48,1
17384,"Female",27,"50","< 1 Year","No",41004,105,0
120152,"Male",47,"28","1-2 Year","Yes",42116,143,0
104722,"Male",72,"28","1-2 Year","Yes",45412,275,0
71197,"Female",25,"29","< 1 Year","No",32398,133,0
58691,"Female",52,"8","1-2 Year","Yes",69035,83,0
32001,"Male",48,"28","1-2 Year","Yes",40152,97,0
347017,"Male",20,"15","< 1 Year","Yes",35949,31,1
124117,"Female",23,"41","< 1 Year","No",41874,21,0
235073,"Female",48,"46","1-2 Year","Yes",23687,62,0
133243,"Male",62,"28","1-2 Year","Yes",31712,112,0
378851,"Female",40,"28","1-2 Year","No",30593,17,0
11370,"Female",81,"28","1-2 Year","Yes",32000,180,1
222821,"Male",46,"3","1-2 Year","No",41744,298,0
375143,"Male",60,"8","1-2 Year","No",37513,194,0
100539,"Female",53,"8","1-2 Year","Yes",49588,295,0
116009,"Female",38,"15","1-2 Year","Yes",37812,168,0
